file,gensize,run,name,score,auc,itb,duration_ms,memory_kb
tsp/swiss42.tsp,1000,1,haco_no_local,1299.000000,1322785.000000,21,4571,2977
tsp/swiss42.tsp,1000,2,haco_no_local,1287.000000,1406863.000000,109,4490,2470
tsp/swiss42.tsp,1000,3,haco_no_local,1291.000000,1326738.000000,288,4545,642
tsp/swiss42.tsp,1000,4,haco_no_local,1303.000000,1356698.000000,31,5131,1790
tsp/swiss42.tsp,1000,5,haco_no_local,1297.000000,1325971.500000,557,5116,2129
tsp/swiss42.tsp,1000,6,haco_no_local,1291.000000,1358499.000000,501,5174,2161
tsp/swiss42.tsp,1000,7,haco_no_local,1299.000000,1542690.000000,12,5001,2087
tsp/swiss42.tsp,1000,8,haco_no_local,1299.000000,1319708.500000,12,4328,937
tsp/swiss42.tsp,1000,9,haco_no_local,1287.000000,1376714.000000,11,4355,1631
tsp/swiss42.tsp,1000,10,haco_no_local,1299.000000,1479725.500000,17,4385,2941
tsp/swiss42.tsp,1000,11,haco_no_local,1291.000000,1407448.000000,496,4378,2219
tsp/swiss42.tsp,1000,12,haco_no_local,1297.000000,1349256.000000,94,4411,761
tsp/swiss42.tsp,1000,13,haco_no_local,1303.000000,1355855.000000,17,4415,1740
tsp/swiss42.tsp,1000,14,haco_no_local,1295.000000,1357377.000000,882,4380,1149
tsp/swiss42.tsp,1000,15,haco_no_local,1291.000000,1342916.000000,176,4436,1835
tsp/swiss42.tsp,1000,16,haco_no_local,1287.000000,1325135.500000,22,4483,1130
tsp/swiss42.tsp,1000,17,haco_no_local,1287.000000,1386972.000000,593,4393,2473
tsp/swiss42.tsp,1000,18,haco_no_local,1299.000000,1485306.500000,39,4434,3011
tsp/swiss42.tsp,1000,19,haco_no_local,1303.000000,1315069.500000,22,4471,1356
tsp/swiss42.tsp,1000,20,haco_no_local,1299.000000,1406857.000000,18,4424,661
tsp/swiss42.tsp,500,1,haco_no_local,1292.000000,682078.500000,7,2220,3185
tsp/swiss42.tsp,500,2,haco_no_local,1299.000000,678547.500000,30,2198,2917
tsp/swiss42.tsp,500,3,haco_no_local,1303.000000,666278.000000,120,2192,927
tsp/swiss42.tsp,500,4,haco_no_local,1299.000000,720425.000000,98,2201,929
tsp/swiss42.tsp,500,5,haco_no_local,1297.000000,694683.500000,364,2159,1173
tsp/swiss42.tsp,500,6,haco_no_local,1299.000000,682406.500000,21,2178,1399
tsp/swiss42.tsp,500,7,haco_no_local,1299.000000,692867.000000,17,2191,2852
tsp/swiss42.tsp,500,8,haco_no_local,1303.000000,659494.500000,10,2164,2413
